"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상"
"서울특별시 성북구 길음제1동(1129066000)","34,810","34,810","3,042","4,967","3,382","3,775","7,290","5,673","3,447","2,083","1,024","123","4"
"서울특별시 성북구 길음제2동(1129068500)","21,867","21,867","2,045","2,064","2,518","2,930","3,937","3,639","2,655","1,400","589","88","2"
"서울특별시 성북구 종암동(1129070500)","37,973","37,973","2,173","3,450","5,522","4,662","5,887","6,308","5,137","2,900","1,670","256","8"
"서울특별시 성북구 월곡제1동(1129071500)","25,820","25,820","1,651","2,501","2,874","3,234","4,250","4,309","3,707","2,170","1,020","101","3"
"서울특별시 성북구 월곡제2동(1129072500)","19,103","19,103","850","1,411","3,521","2,580","2,541","2,955","2,730","1,582","827","103","3"
"서울특별시 성북구 장위제1동(1129076000)","23,711","23,711","1,551","1,794","3,096","3,222","3,588","4,139","3,604","1,785","837","92","3"
"서울특별시 성북구 장위제2동(1129077000)","13,274","13,274","509","793","1,782","1,789","1,690","2,304","2,265","1,388","677","75","2"
"서울특별시 성북구 장위제3동(1129078000)","15,773","15,773","1,561","1,337","1,940","2,379","2,685","2,510","1,984","927","407","42","1"
"서울특별시 성북구 석관동(1129081000)","34,219","34,219","1,723","2,049","4,718","4,710","4,669","5,709","5,582","3,334","1,572","149","4"
"서울특별시 강북구 (1130500000)","291,384","291,384","12,229","19,719","39,027","35,518","40,881","50,521","47,831","29,543","14,512","1,551","52"
"서울특별시 강북구 삼양동(1130553400)","22,697","22,697","1,040","1,675","2,842","2,628","3,173","4,176","3,785","2,233","1,038","104","3"
"서울특별시 강북구 미아동(1130553500)","21,041","21,041","599","1,205","3,597","2,705","2,701","3,533","3,524","2,038","1,040","97","2"
"서울특별시 강북구 송중동(1130554500)","28,992","28,992","1,348","1,880","3,893","3,842","4,180","5,010","4,730","2,741","1,239","129","0"
"서울특별시 강북구 송천동(1130555500)","25,182","25,182","783","1,389","3,097","2,962","3,293","4,667","4,752","2,776","1,332","125","6"
"서울특별시 강북구 삼각산동(1130557500)","30,753","30,753","2,356","3,850","3,236","3,272","5,758","5,457","3,617","2,080","1,012","110","5"
"서울특별시 강북구 번1동(1130559500)","17,903","17,903","533","912","2,980","2,592","2,597","2,971","2,727","1,717","801","71","2"
"서울특별시 강북구 번2동(1130560300)","15,106","15,106","480","892","1,927","1,599","2,011","2,569","2,720","1,920","896","88","4"
"서울특별시 강북구 번3동(1130560800)","16,447","16,447","707","1,115","1,749","1,609","2,201","2,725","2,687","2,404","1,129","116","5"
"서울특별시 강북구 수유1동(1130561500)","20,073","20,073","763","1,250","2,874","2,686","2,646","3,326","3,402","2,028","965","129","4"
"서울특별시 강북구 수유2동(1130562500)","20,757","20,757","873","1,249","2,684","2,393","2,776","3,569","3,622","2,214","1,229","145","3"
"서울특별시 강북구 수유3동(1130563500)","22,956","22,956","639","1,044","4,207","3,326","2,932","3,888","3,637","2,121","1,065","93","4"
"서울특별시 강북구 우이동(1130564500)","20,031","20,031","883","1,277","2,357","2,442","2,680","3,534","3,424","2,098","1,184","147","5"
"서울특별시 강북구 인수동(1130566000)","29,446","29,446","1,225","1,981","3,584","3,462","3,933","5,096","5,204","3,173","1,582","197","9"
"서울특별시 도봉구 (1132000000)","308,986","308,986","14,834","22,912","38,227","38,036","43,344","54,292","52,674","28,534","14,242","1,826","65"
"서울특별시 도봉구 창제1동(1132051100)","24,201","24,201","1,209","1,935","3,019","3,222","3,631","4,205","3,717","2,046","1,069","142","6"
"서울특별시 도봉구 창제2동(1132051200)","28,413","28,413","1,422","2,067","3,847","3,850","4,170","4,953","4,391","2,421","1,160","129","3"
"서울특별시 도봉구 창제3동(1132051300)","13,359","13,359","549","949","1,549","1,520","1,964","2,433","2,319","1,361","656","54","5"
"서울특별시 도봉구 창제4동(1132051400)","25,903","25,903","1,418","2,420","3,253","3,164","3,988","4,720","4,008","1,804","951","176","1"
"서울특별시 도봉구 창제5동(1132051500)","24,008","24,008","1,234","1,755","3,233","3,440","3,210","4,202","3,916","1,898","975","140","5"
"서울특별시 도봉구 도봉제1동(1132052100)","20,247","20,247","643","1,048","2,217","2,129","2,556","3,524","3,993","2,711","1,279","138","9"
"서울특별시 도봉구 도봉제2동(1132052200)","25,997","25,997","1,405","1,440","2,759","3,314","3,410","4,222","4,896","2,973","1,392","179","7"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,846","20,846","925","1,457","2,786","2,426","2,846","3,649","3,501","2,026","1,107","121","2"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,132","18,132","830","1,185","2,202","2,382","2,517","3,160","3,184","1,674","860","135","3"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,618","16,618","715","953","2,453","2,381","2,282","2,800","2,617","1,576","768","68","5"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,219","18,219","1,008","1,809","2,231","2,162","2,683","3,234","3,055","1,271","665","99","2"
"서울특별시 도봉구 방학제1동(1132069000)","27,918","27,918","1,252","2,051","3,560","3,133","3,838","5,145","4,857","2,727","1,215","132","8"
"서울특별시 도봉구 방학제2동(1132070000)","18,831","18,831","697","1,275","2,243","1,996","2,438","3,598","3,504","1,929","1,026","122","3"
"서울특별시 도봉구 방학제3동(1132071000)","26,294","26,294","1,527","2,568","2,875","2,917","3,811","4,447","4,716","2,117","1,119","191","6"
"서울특별시 노원구 (1135000000)","500,104","500,104","27,185","48,184","67,151","61,161","76,633","85,911","72,750","39,019","19,250","2,777","83"
"서울특별시 노원구 월계1동(1135056000)","20,799","20,799","942","1,526","3,655","2,402","2,932","3,312","3,092","1,968","848","120","2"
"서울특별시 노원구 월계2동(1135057000)","25,834","25,834","1,409","1,918","2,876","2,881","3,830","4,354","4,523","2,643","1,202","191","7"
"서울특별시 노원구 월계3동(1135058000)","28,954","28,954","1,782","1,934","3,189","4,290","4,280","4,534","4,668","2,770","1,330","173","4"
"서울특별시 노원구 공릉1동(1135059500)","36,240","36,240","1,587","2,509","6,595","5,005","5,027","5,437","5,632","3,007","1,252","185","4"
